Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/22/2024,01/22/2024,LYFT   *1 RIDE 01-20,Travel,Sale,-14.78,
01/21/2024,01/22/2024,COURSRA98KIUW5D1217SK,Education,Sale,-49.00,
01/19/2024,01/19/2024,AUTOMATIC PAYMENT - THANK,,Payment,682.44,
01/14/2024,01/15/2024,Spotify USA,Bills & Utilities,Sale,-11.98,
01/14/2024,01/15/2024,TST* STEINGOLDS OF CHICA,Food & Drink,Sale,-5.36,
01/12/2024,01/14/2024,PARK CHICAGO MOBILE,Travel,Sale,-20.00,
01/04/2024,01/07/2024,AMERICAN AI 0012104255299,Travel,Return,235.10,
01/03/2024,01/05/2024,UNITED      0162353051412,Travel,Sale,-470.20,
01/03/2024,01/04/2024,AMZN Mktp US*JR60W6OC3,Shopping,Sale,-99.17,
01/03/2024,01/04/2024,AMERICAN AIR0012104255299,Travel,Sale,-235.10,
01/02/2024,01/03/2024,XSPORT LAKEVIEW-CKFR,Health & Wellness,Sale,-49.95,
01/02/2024,01/03/2024,MARIANOS 538,Groceries,Sale,-86.67,
